seasonStartYear,awayTeam,pointsAway,homeTeam,pointsHome,attendance,notes,startET,Arena,datetime,isRegular,game_id,homeTeam_abb,awayTeam_abb,MatchUp,bs_url,pbp_url
2023,Los Angeles Lakers,107.0,Denver Nuggets,119.0,19842.0,,7:30p,Ball Arena,2023-10-24,1,1,DEN,LAL,LAL@DEN,https://www.basketball-reference.com/boxscores/202310240DEN.html,https://www.basketball-reference.com/boxscores/pbp/202310240DEN.html
2023,Phoenix Suns,108.0,Golden State Warriors,104.0,18064.0,,10:00p,Chase Center,2023-10-24,1,2,GSW,PHO,PHO@GSW,https://www.basketball-reference.com/boxscores/202310240GSW.html,https://www.basketball-reference.com/boxscores/pbp/202310240GSW.html
2023,Detroit Pistons,102.0,Miami Heat,103.0,19695.0,,7:30p,Kaseya Center,2023-10-25,1,3,MIA,DET,DET@MIA,https://www.basketball-reference.com/boxscores/202310250MIA.html,https://www.basketball-reference.com/boxscores/pbp/202310250MIA.html
2023,Portland Trail Blazers,111.0,Los Angeles Clippers,123.0,19370.0,,10:30p,Crypto.com Arena,2023-10-25,1,4,LAC,POR,POR@LAC,https://www.basketball-reference.com/boxscores/202310250LAC.html,https://www.basketball-reference.com/boxscores/pbp/202310250LAC.html
2023,Dallas Mavericks,126.0,San Antonio Spurs,119.0,18947.0,,9:30p,Frost Bank Center,2023-10-25,1,5,SAS,DAL,DAL@SAS,https://www.basketball-reference.com/boxscores/202310250SAS.html,https://www.basketball-reference.com/boxscores/pbp/202310250SAS.html
2023,Sacramento Kings,130.0,Utah Jazz,114.0,18206.0,,9:00p,Delta Center,2023-10-25,1,6,UTA,SAC,SAC@UTA,https://www.basketball-reference.com/boxscores/202310250UTA.html,https://www.basketball-reference.com/boxscores/pbp/202310250UTA.html
2023,Oklahoma City Thunder,124.0,Chicago Bulls,104.0,21369.0,,8:00p,United Center,2023-10-25,1,7,CHI,OKC,OKC@CHI,https://www.basketball-reference.com/boxscores/202310250CHI.html,https://www.basketball-reference.com/boxscores/pbp/202310250CHI.html
2023,Atlanta Hawks,110.0,Charlotte Hornets,116.0,16129.0,,7:00p,Spectrum Center,2023-10-25,1,8,CHA,ATL,ATL@CHA,https://www.basketball-reference.com/boxscores/202310250CHA.html,https://www.basketball-reference.com/boxscores/pbp/202310250CHA.html
2023,Cleveland Cavaliers,114.0,Brooklyn Nets,113.0,17931.0,,7:30p,Barclays Center,2023-10-25,1,9,BRK,CLE,CLE@BRK,https://www.basketball-reference.com/boxscores/202310250BRK.html,https://www.basketball-reference.com/boxscores/pbp/202310250BRK.html
2023,Minnesota Timberwolves,94.0,Toronto Raptors,97.0,19800.0,,7:30p,Scotiabank Arena,2023-10-25,1,10,TOR,MIN,MIN@TOR,https://www.basketball-reference.com/boxscores/202310250TOR.html,https://www.basketball-reference.com/boxscores/pbp/202310250TOR.html
